trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('not', 'getting', 'notification')",7
,,"('application', 'application', 'not')",7
,,"('new', 'update', 'hate')",7
,,"('please', 'fix', 'snapshot')",7
,,"('suck', 'not', 'save')",7
,,"('this', 'application', 'please')",7
,,"('back', 'home', 'screen')",7
,,"('hate', 'this', 'application')",7
,,"('this', 'application', 'freeze')",7
,,"('this', 'great', 'application')",7
,,"('camera', 'roll', 'picture')",7
,,"('see', 'friend', 'private')",7
,,"('select', 'multiple', 'picture')",7
,,"('this', 'application', 'ever')",7
,,"('update', 'made', 'application')",7
,,"('used', 'love', 'this')",7
,,"('able', 'send', 'snap')",7
,,"('snap', 'camera', 'roll')",7
,,"('crashing', 'every', 'time')",7
,,"('photo', 'in', 'eye')",7
,,"('new', 'version', 'not')",7
,,"('min', 'ago', 'even')",7
,,"('update', 'not', 'add')",7
,,"('not', 'know', 'happened')",7
,,"('also', 'doe', 'not')",7
,,"('application', 'application', 'say')",7
,,"('update', 'application', 'keep')",7
,,"('updated', 'this', 'application')",7
,,"('anything', 'camera', 'roll')",7
,,"('even', 'though', 'sent')",7
,,"('not', 'even', 'work')",7
,,"('go', 'back', 'way')",7
,,"('application', 'did', 'not')",7
,,"('update', 'every', 'time')",7
,,"('opened', 'message', 'not')",7
,,"('new', 'update', 'still')",7
,,"('saying', 'people', 'opened')",7
,,"('need', 'go', 'back')",7
,,"('star', 'new', 'update')",7
,,"('android', 'doe', 'not')",7
,,"('did', 'not', 'even')",7
,,"('horrible', 'new', 'update')",7
,,"('snapshot', 'not', 'responding')",7
,,"('friend', 'this', 'application')",7
,,"('get', 'worse', 'worse')",7
,,"('doe', 'not', 'seem')",7
,,"('new', 'update', 'did')",7
,,"('video', 'longer', 'second')",7
,,"('know', 'new', 'update')",7
,,"('snapshot', 'fix', 'this')",7
,,"('let', 'take', 'picture')",7
,,"('application', 'keep', 'freezing')",7
,,"('android', 'this', 'application')",7
,,"('not', 'add', 'people')",7
,,"('video', 'in', 'memory')",7
,,"('did', 'not', 'work')",7
,,"('not', 'let', 'sign')",7
,,"('snapshot', 'stopped', 'working')",7
,,"('snapshot', 'keep', 'crashing')",7
,,"('love', 'snapshot', 'this')",7
,,"('not', 'connect', 'server')",7
,,"('take', 'forever', 'send')",7
,,"('not', 'able', 'save')",7
,,"('new', 'update', 'phone')",7
,,"('doe', 'not', 'give')",7
,,"('not', 'give', 'option')",7
,,"('recent', 'update', 'doe')",7
,,"('data', 'saver', 'mode')",7
,,"('update', 'still', 'not')",7
,,"('screen', 'go', 'black')",7
,,"('create', 'private', 'story')",7
,,"('notification', 'sound', 'not')",7
,,"('snap', 'doe', 'not')",7
,,"('someone', 'opened', 'snap')",6
,,"('send', 'please', 'fix')",6
,,"('version', 'new', 'update')",6
,,"('go', 'back', 'previous')",6
,,"('please', 'please', 'fix')",6
,,"('fix', 'this', 'snapshot')",6
,,"('snapshot', 'updated', 'snapshot')",6
,,"('like', 'application', 'application')",6
,,"('in', 'this', 'update')",6
,,"('front', 'camera', 'zoomed')",6
,,"('add', 'private', 'story')",6
,,"('update', 'snap', 'not')",6
,,"('not', 'know', 'fix')",6
,,"('try', 'open', 'snap')",6
,,"('until', 'new', 'update')",6
,,"('bad', 'not', 'even')",6
,,"('not', 'know', 'going')",6
,,"('not', 'see', 'message')",6
,,"('camera', 'quality', 'snapshot')",6
,,"('made', 'new', 'update')",6
,,"('wrong', 'this', 'application')",6
,,"('application', 'latest', 'update')",6
,,"('get', 'this', 'application')",6
,,"('not', 'load', 'anything')",6
,,"('camera', 'look', 'like')",6
,,"('update', 'application', 'not')",6
,,"('not', 'work', 'phone')",6
,,"('this', 'application', 'would')",6
,,"('better', 'new', 'update')",6
,,"('not', 'let', 'make')",6
,,"('application', 'ever', 'since')",6
,,"('this', 'application', 'time')",6
,,"('story', 'please', 'fix')",6
,,"('phone', 'samsung', 'galaxy')",6
,,"('suck', 'this', 'new')",6
,,"('issue', 'please', 'fix')",6
,,"('in', 'memory', 'not')",6
,,"('not', 'get', 'filter')",6
,,"('not', 'see', 'snap')",6
,,"('update', 'update', 'not')",6
,,"('let', 'open', 'application')",6
,,"('update', 'soon', 'possible')",6
,,"('fixed', 'new', 'update')",6
,,"('this', 'application', 'make')",6
,,"('worse', 'every', 'update')",6
,,"('this', 'problem', 'not')",6
,,"('not', 'phone', 'because')",6
,,"('take', 'much', 'space')",6
