trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('in', 'please', 'fix')",9
,,"('good', 'new', 'update')",9
,,"('please', 'fix', 'application')",9
,,"('go', 'into', 'application')",9
,,"('update', 'ever', 'since')",8
,,"('update', 'ruined', 'application')",8
,,"('due', 'new', 'update')",8
,,"('snap', 'chat', 'not')",8
,,"('last', 'update', 'snapshot')",8
,,"('new', 'update', 'caused')",8
,,"('please', 'change', 'this')",8
,,"('application', 'soon', 'possible')",8
,,"('memory', 'not', 'save')",8
,,"('old', 'version', 'back')",8
,,"('like', 'update', 'not')",8
,,"('worse', 'new', 'update')",8
,,"('see', 'anyone', 'private')",8
,,"('anyone', 'private', 'story')",8
,,"('update', 'not', 'add')",8
,,"('snap', 'doe', 'not')",8
,,"('really', 'like', 'snapshot')",8
,,"('android', 'please', 'fix')",8
,,"('worse', 'every', 'update')",8
,,"('samsung', 'galaxy', 'not')",8
,,"('not', 'take', 'picture')",8
,,"('not', 'work', 'in')",8
,,"('application', 'keep', 'closing')",8
,,"('not', 'get', 'new')",8
,,"('update', 'not', 'select')",8
,,"('doe', 'not', 'make')",8
,,"('in', 'eye', 'anymore')",8
,,"('use', 'new', 'update')",8
,,"('fix', 'this', 'update')",8
,,"('application', 'this', 'new')",8
,,"('not', 'give', 'option')",8
,,"('this', 'application', 'new')",8
,,"('one', 'one', 'not')",8
,,"('move', 'camera', 'roll')",8
,,"('this', 'new', 'version')",8
,,"('sent', 'please', 'fix')",8
,,"('something', 'went', 'wrong')",8
,,"('application', 'ever', 'since')",8
,,"('not', 'see', 'anyone')",8
,,"('camera', 'quality', 'android')",8
,,"('select', 'one', 'snap')",8
,,"('back', 'last', 'version')",8
,,"('week', 'ago', 'not')",8
,,"('chat', 'take', 'forever')",8
,,"('take', 'long', 'send')",8
,,"('save', 'multiple', 'photo')",8
,,"('not', 'good', 'update')",8
,,"('want', 'old', 'version')",8
,,"('snapshot', 'fix', 'this')",8
,,"('not', 'post', 'story')",8
,,"('self', 'zoomed', 'in')",8
,,"('please', 'fix', 'bug')",8
,,"('send', 'snap', 'not')",8
,,"('save', 'in', 'chat')",8
,,"('newest', 'update', 'not')",8
,,"('zoomed', 'in', 'samsung')",8
,,"('since', 'got', 'new')",8
,,"('camera', 'roll', 'chat')",8
,,"('send', 'snap', 'story')",8
,,"('update', 'really', 'bad')",8
,,"('would', 'give', 'star')",8
,,"('update', 'make', 'everything')",8
,,"('update', 'stupid', 'not')",8
,,"('snap', 'in', 'memory')",8
,,"('this', 'problem', 'this')",8
,,"('this', 'application', 'say')",8
,,"('say', 'snapshot', 'stopped')",8
,,"('really', 'like', 'new')",8
,,"('doe', 'not', 'get')",8
,,"('please', 'fix', 'android')",8
,,"('this', 'application', 'since')",8
,,"('even', 'use', 'application')",8
,,"('update', 'take', 'forever')",8
,,"('problem', 'new', 'update')",8
,,"('zoomed', 'in', 'new')",8
,,"('post', 'video', 'story')",8
,,"('not', 'see', 'people')",8
,,"('not', 'unload', 'video')",8
,,"('ever', 'since', 'updated')",8
,,"('not', 'fix', 'not')",8
,,"('update', 'horrible', 'not')",8
,,"('snapshot', 'not', 'even')",8
,,"('zoomed', 'in', 'please')",8
,,"('soon', 'possible', 'new')",8
,,"('possible', 'new', 'update')",8
,,"('since', 'update', 'update')",8
,,"('please', 'solve', 'this')",8
,,"('not', 'let', 'download')",8
,,"('option', 'save', 'story')",8
,,"('back', 'old', 'one')",8
,,"('not', 'let', 'take')",8
,,"('zoomed', 'in', 'front')",8
,,"('update', 'since', 'new')",8
,,"('someone', 'sends', 'one')",8
,,"('android', 'user', 'not')",8
,,"('send', 'not', 'delete')",8
,,"('update', 'make', 'application')",7
,,"('memory', 'not', 'load')",7
,,"('not', 'take', 'photo')",7
,,"('would', 'not', 'let')",7
,,"('application', 'recent', 'update')",7
,,"('not', 'send', 'video')",7
,,"('like', 'please', 'fix')",7
,,"('new', 'update', 'hate')",7
,,"('front', 'camera', 'way')",7
,,"('fix', 'this', 'snapshot')",7
,,"('save', 'full', 'story')",7
,,"('please', 'try', 'fix')",7
,,"('application', 'every', 'time')",7
,,"('not', 'new', 'update')",7
,,"('really', 'zoomed', 'in')",7
,,"('save', 'picture', 'in')",7
,,"('everything', 'new', 'update')",7
,,"('version', 'new', 'update')",7
,,"('new', 'update', 'need')",7
,,"('snap', 'private', 'story')",7
,,"('time', 'new', 'update')",7
,,"('one', 'new', 'update')",7
,,"('snap', 'not', 'even')",7
,,"('doe', 'not', 'appear')",7
,,"('help', 'new', 'update')",7
,,"('send', 'message', 'not')",7
,,"('back', 'previous', 'update')",7
,,"('save', 'story', 'in')",7
,,"('get', 'new', 'update')",7
