trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('not', 'let', 'take', 'picture')",5
,,"('new', 'update', 'this', 'application')",5
,,"('new', 'update', 'took', 'away')",5
,,"('not', 'let', 'sign', 'in')",5
,,"('since', 'new', 'update', 'new')",5
,,"('update', 'not', 'let', 'send')",5
,,"('not', 'let', 'update', 'new')",5
,,"('update', 'new', 'update', 'terrible')",5
,,"('application', 'this', 'application', 'not')",5
,,"('sent', 'two', 'hour', 'ago')",5
,,"('recent', 'update', 'doe', 'not')",5
,,"('take', 'way', 'much', 'storage')",5
,,"('every', 'time', 'try', 'use')",5
,,"('this', 'application', 'constantly', 'crashing')",5
,,"('doe', 'not', 'work', 'properly')",5
,,"('not', 'work', 'please', 'fix')",5
