trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('auto', 'update', 'turned')",8
,,"('unfortunately', 'faceon', 'stopped')",8
,,"('not', 'like', 'anything')",8
,,"('updated', 'this', 'application')",8
,,"('please', 'fix', 'notification')",8
,,"('like', 'comment', 'anything')",8
,,"('faceon', 'not', 'letting')",8
,,"('not', 'let', 'in')",8
,,"('update', 'keep', 'crashing')",8
,,"('say', 'not', 'connect')",8
,,"('still', 'not', 'get')",8
,,"('application', 'suck', 'not')",8
,,"('doe', 'not', 'open')",8
,,"('since', 'this', 'morning')",8
,,"('add', 'photo', 'album')",8
,,"('faceon', 'keep', 'saying')",8
,,"('not', 'unload', 'anything')",8
,,"('update', 'new', 'update')",8
,,"('faceon', 'not', 'able')",8
,,"('this', 'application', 'work')",8
,,"('fix', 'this', 'bug')",8
,,"('matter', 'many', 'time')",8
,,"('love', 'this', 'application')",8
,,"('going', 'faceon', 'not')",8
,,"('this', 'application', 'crash')",8
,,"('not', 'let', 'sign')",8
,,"('application', 'not', 'see')",8
,,"('not', 'work', 'in')",8
,,"('not', 'let', 'instal')",8
,,"('doe', 'not', 'update')",8
,,"('open', 'this', 'application')",8
,,"('faceon', 'this', 'application')",8
,,"('not', 'play', 'video')",8
,,"('this', 'application', 'because')",8
,,"('faceon', 'keep', 'stopping')",8
,,"('install', 'this', 'application')",8
,,"('photo', 'cover', 'photo')",8
,,"('long', 'long', 'long')",8
,,"('photo', 'not', 'large')",7
,,"('not', 'let', 'anything')",7
,,"('like', 'post', 'not')",7
,,"('please', 'help', 'fix')",7
,,"('log', 'into', 'faceon')",7
,,"('not', 'reply', 'comment')",7
,,"('this', 'application', 'never')",7
,,"('not', 'want', 'this')",7
,,"('new', 'update', 'faceon')",7
,,"('see', 'comment', 'post')",7
,,"('not', 'unload', 'video')",7
,,"('not', 'share', 'anything')",7
,,"('faceon', 'page', 'not')",7
,,"('not', 'let', 'share')",7
,,"('like', 'post', 'comment')",7
,,"('working', 'last', 'update')",7
,,"('log', 'in', 'this')",7
,,"('not', 'anything', 'not')",7
,,"('installed', 'this', 'application')",7
,,"('not', 'update', 'application')",7
,,"('not', 'like', 'share')",7
,,"('unable', 'log', 'in')",7
,,"('application', 'working', 'fine')",7
,,"('download', 'this', 'application')",7
,,"('new', 'update', 'really')",7
,,"('day', 'this', 'application')",7
,,"('post', 'anything', 'comment')",7
,,"('back', 'in', 'not')",7
,,"('annoying', 'please', 'fix')",7
,,"('not', 'even', 'login')",7
,,"('ever', 'since', 'update')",7
,,"('get', 'back', 'into')",7
,,"('last', 'two', 'update')",7
,,"('need', 'fix', 'this')",7
,,"('update', 'not', 'comment')",7
,,"('soon', 'possible', 'not')",7
,,"('page', 'please', 'fix')",7
,,"('not', 'even', 'load')",7
,,"('doe', 'not', 'go')",7
,,"('application', 'every', 'time')",7
