trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('notification', 'not', 'show')",5
,,"('not', 'know', 'going')",5
,,"('new', 'update', 'always')",5
,,"('not', 'work', 'faceon')",5
,,"('video', 'not', 'playing')",5
,,"('post', 'in', 'recent')",5
,,"('in', 'faceon', 'jail')",5
,,"('load', 'this', 'application')",5
,,"('this', 'application', 'take')",5
,,"('not', 'connect', 'right')",5
,,"('keep', 'saying', 'faceon')",5
,,"('this', 'application', 'garbage')",5
,,"('not', 'unload', 'picture')",5
,,"('application', 'open', 'application')",5
,,"('video', 'not', 'working')",5
,,"('application', 'suck', 'this')",5
,,"('in', 'faceon', 'not')",5
,,"('application', 'latest', 'update')",5
,,"('notification', 'not', 'clear')",5
,,"('in', 'middle', 'video')",5
,,"('application', 'stop', 'working')",5
,,"('not', 'loading', 'properly')",5
,,"('news', 'feed', 'still')",5
,,"('last', 'update', 'faceon')",5
,,"('not', 'like', 'new')",5
,,"('this', 'application', 'in')",5
,,"('since', 'update', 'not')",5
,,"('not', 'see', 'anything')",5
,,"('mess', 'sumat', 'work')",5
,,"('sumat', 'work', 'fine')",5
,,"('application', 'not', 'download')",5
,,"('updating', 'this', 'application')",5
,,"('keep', 'crashing', 'please')",5
,,"('application', 'not', 'responding')",5
,,"('this', 'damn', 'application')",5
,,"('showing', 'post', 'day')",5
,,"('problem', 'soon', 'possible')",5
,,"('notification', 'someone', 'liked')",5
,,"('new', 'update', 'horrible')",5
,,"('problem', 'still', 'not')",5
,,"('since', 'update', 'application')",5
,,"('faceon', 'application', 'doe')",5
,,"('this', 'application', 'update')",5
,,"('every', 'update', 'not')",5
,,"('update', 'april', 'application')",5
,,"('bug', 'bug', 'bug')",5
,,"('not', 'login', 'account')",5
,,"('application', 'crash', 'every')",5
,,"('fix', 'new', 'update')",5
,,"('not', 'know', 'happened')",5
,,"('not', 'share', 'post')",5
,,"('did', 'not', 'work')",5
,,"('not', 'read', 'comment')",5
,,"('this', 'new', 'version')",5
,,"('fix', 'this', 'this')",5
,,"('not', 'know', 'whats')",5
,,"('application', 'faceon', 'application')",5
,,"('application', 'application', 'keep')",5
,,"('not', 'able', 'use')",5
,,"('crashing', 'open', 'application')",5
,,"('back', 'old', 'reaction')",5
,,"('doe', 'not', 'open')",5
,,"('try', 'open', 'application')",5
,,"('update', 'not', 'get')",5
,,"('update', 'not', 'know')",5
,,"('problem', 'new', 'update')",5
,,"('keep', 'crashing', 'everytime')",5
,,"('opening', 'application', 'application')",5
,,"('new', 'update', 'faceon')",5
,,"('make', 'this', 'application')",5
,,"('fig', 'floating', 'video')",5
